"[40.7042, -74.01151, 40.70421, -74.01148, 40.70426, -74.01127, 40.70433, -74.01104, 40.70438, -74.01092, 40.70441, -74.01083, 40.70449, -74.01065, 40.70449, -74.01065]",M01121112,#FF0000,SOUTH WILLIAM ST,Broad St,Mill Ln,E
"[40.70244, -74.013, 40.70244, -74.013, 40.70241, -74.01364, 40.70242, -74.01371, 40.70243, -74.01375, 40.70244, -74.01378, 40.70264, -74.01403, 40.70268, -74.01405, 40.70276, -74.01415, 40.70282, -74.01421, 40.70288, -74.01424, 40.70293, -74.01427, 40.703, -74.01431, 40.70305, -74.01433]",M01127018,#FF0000,STATE ST,Whitehall St,Pearl St,N
"[40.70979, -74.01456, 40.70955, -74.01397]",M0000827,#FF0000,ALBANY ST,West St,Washington St,N
"[40.70792, -74.0137, 40.70772, -74.01382]",M0001046,#00FF00,GREENWICH ST,Rector St,Bklyn Battery Tunnel,W
"[40.70772, -74.01382, 40.70666, -74.01444]",M00010486,#FF0000,GREENWICH ST,Rector St,Bklyn Battery Tunnel,W
"[40.70871, -74.01335, 40.70854, -74.01342]",M0013488,#00FF00,GREENWICH ST,Carlisle St,Rector St,W
"[40.70854, -74.01342, 40.70802, -74.01365]",M00134873,#00FF00,GREENWICH ST,Carlisle St,Rector St,W
"[40.70774, -74.01545, 40.70841, -74.01521]",M00135219,#FF0000,WEST ST,Joseph P Ward St,Rector St,E
"[40.70679, -74.01771, 40.70628, -74.01798]",M00383111,#00FF00,BATTERY PL,2 Pl,1 Pl,W
"[40.70903, -74.01218, 40.70928, -74.01203]",M0049894,#00FF00,TRINITY PL,Thames St,Cedar St,W
"[40.70937, -74.01197, 40.70964, -74.01176]",M0049908,#00FF00,TRINITY PL,Cedar St,Liberty St,W
"[40.70935, -74.01182, 40.70957, -74.01166]",M00500011,#FF0000,TRINITY PL,Cedar St,Liberty St,E
"[40.70682, -74.014, 40.70701, -74.01393]",M0054980,#FF0000,GREENWICH ST,Brooklyn Battery Tunnel,Edgar St,E
"[40.71, -74.01258, 40.70967, -74.01183]",M00585215,#FF0000,LIBERTY ST,Greenwich St,Trinity Pl,S
"[40.70748, -74.01487, 40.70766, -74.01534]",M00595810,#FF0000,JOSEPH P WARD ST,Washington St,West St,N
"[40.70766, -74.01534, 40.70771, -74.01545]",M005958154,#00FF00,JOSEPH P WARD ST,Washington St,West St,N
"[40.70781, -74.01297, 40.70833, -74.01263]",M0065629,#00FF00,TRINITY PL,Rector St,Thames St,W
"[40.70833, -74.01263, 40.70897, -74.01222]",M006562221,#FF0000,TRINITY PL,Rector St,Thames St,W
"[40.70705, -74.01353, 40.70774, -74.01302]",M0065637,#00FF00,TRINITY PL,Edgar St,Rector St,W
